trial	condition	stimulus	stimulus_onset	stim_uc	response	response_onset	resp_uc	correct	RTcmp	RTclc
484	diffd5	right_down	1556171	4	2	1556566	1	correct	394	395
485	diffd5	left-up	1558577	45	1	1558928	1	correct	350	351
486	diffd5	left-down	1560950	4	2	1561309	1	incorrect	358	359
487	diffd5	left-down	1563323	20	1	1563655	2	correct	331	332
488	diffd5	right_down	1565679	4	2	1566115	1	correct	435	436
489	diffd5	right_down	1568151	4	1	1568599	19	incorrect	448	448
490	diffd5	left-down	1570626	4	2	1570992	1	incorrect	366	366
491	diffd5	left-down	1573015	3	1	1573499	2	correct	483	484
492	diffd5	right_down	1575522	4	1	1576223	2	incorrect	701	701
493	diffd5	left-up	1578245	3	2	1578838	22	incorrect	592	593
494	diffd5	left-down	1580869	3	2	1582432	16	incorrect	1563	1563
495	diffd5	right_down	1584445	4	2	1585112	1	correct	667	667
496	diffd5	left-up	1586132	4	1	1586967	180	correct	0	835
497	diffd5	right_down	1587986	3	1	1588811	181	incorrect	0	825
498	diffd5	right_down	1590844	4	1	1591655	53	incorrect	811	811
499	diffd5	right-up	1593669	4	1	1594213	2	incorrect	543	544
500	diffd5	right_down	1596226	22	1	1596702	2	incorrect	476	476
501	diffd5	left-down	1625369	4	3	1625456	1	wrong key	0	87
502	diffd5	right_down	1627474	4	1	1627950	1	incorrect	475	476
503	diffd5	left-up	1629964	4	2	1630543	1	incorrect	578	579
504	diffd5	right-up	1632554	313	1	1633072	9	incorrect	518	518
505	diffd5	left-down	1635127	4	2	1635670	18	incorrect	543	543
506	diffd5	left-down	1637701	4	1	1638317	1	correct	616	616
507	diffd5	left-up	1640325	3	1	1640732	1	correct	407	407
508	diffd5	left-down	1641744	535	1	1642079	181	correct	0	335
509	diffd5	right-up	1644151	4	1	1644463	7	incorrect	312	312
510	diffd5	right-up	1646474	3	1	1646963	1	incorrect	489	489
511	diffd5	left-down	1648997	4	2	1649313	1	incorrect	316	316
512	diffd5	left-up	1651337	4	1	1651781	1	correct	443	444
513	diffd5	left-down	1653793	4	1	1654242	2	correct	448	449
514	diffd5	right_down	1656250	4	1	1656688	1	incorrect	438	438
515	diffd5	left-down	1658723	4	1	1659335	1	correct	612	612
516	diffd5	left-down	1661346	4	1	1661755	1	correct	408	409
517	diffd5	left-down	1662765	3	1	1663719	180	correct	0	954
518	diffd5	right_down	1664738	5	1	1665513	1	incorrect	0	775
519	diffd5	right-up	1667529	4	1	1668090	2	incorrect	561	561
520	diffd5	left-up	1670119	3	1	1670917	1	correct	798	798
521	diffd5	left-down	1672926	18	1	1673382	1	correct	455	456
522	diffd5	left-up	1675400	4	1	1675886	1	correct	486	486
523	diffd5	right-up	1677906	3	1	1678566	1	incorrect	660	660
524	diffd5	right_down	1679576	4	1	1679896	180	incorrect	0	320
525	diffd5	left-up	1681917	19	2	1682095	1	incorrect	178	178
526	diffd5	right-up	1684106	3	1	1684503	1	incorrect	397	397
527	diffd5	left-up	1685508	3	1	1686062	180	correct	0	554
528	diffd5	left-down	1687080	4	1	1688045	1	correct	0	965
529	diffd5	left-up	1689052	3	2	1689498	1	incorrect	0	446
530	diffd5	right_down	1690505	4	2	1690703	180	correct	0	198
531	diffd5	left-up	1692712	3	1	1693249	1	correct	537	537
532	diffd5	right_down	1695285	4	1	1695637	1	incorrect	352	352
533	diffd5	left-up	1697658	4	2	1697893	1	incorrect	235	235
534	diffd5	left-up	1699914	19	1	1700562	1	correct	647	648
535	diffd5	right_down	1702587	4	1	1702615	1	incorrect	27	28
536	diffd5	left-up	1703622	3	2	1703824	181	incorrect	0	202
537	diffd5	left-up	1704842	3	2	1705098	180	incorrect	0	256
538	diffd5	left-up	1706112	3	2	1706380	180	incorrect	0	268
539	diffd5	left-up	1707399	4	2	1707707	201	incorrect	0	308
540	diffd5	right_down	1708720	4	2	1709067	1	correct	0	347
541	diffd5	left-up	1710074	63	2	1710303	1	incorrect	0	229
542	diffd5	right-up	1711326	4	2	1711576	180	correct	0	250
543	diffd5	left-down	1712596	3	2	1712913	180	incorrect	0	317
544	diffd5	right_down	1713916	4	2	1714205	180	correct	0	289
545	diffd5	right-up	1715219	4	2	1715511	180	correct	0	292
546	diffd5	right-up	1716523	4	2	1716792	181	correct	0	269
547	diffd5	right_down	1717809	4	2	1717830	181	correct	0	21
548	diffd5	left-down	1718845	4	2	1719158	181	incorrect	0	313
549	diffd5	left-up	1720165	22	2	1721041	180	incorrect	0	876
550	diffd5	left-down	1722072	4	2	1722323	1	incorrect	0	251
551	diffd5	right_down	1723342	4	2	1723627	1	correct	0	285
552	diffd5	left-up	1724644	4	2	1724947	181	incorrect	0	303
553	diffd5	right_down	1725965	3	2	1726111	1	correct	0	146
554	diffd5	right-up	1727117	45	2	1727510	180	correct	0	393
555	diffd5	right_down	1728521	152	2	1728862	180	correct	0	341
556	diffd5	right-up	1729891	3	2	1730139	348	correct	0	248
557	diffd5	left-up	1731144	4	2	1731383	180	incorrect	0	239
558	diffd5	right_down	1732415	3	2	1733396	1	correct	0	981
559	diffd5	right-up	1734403	4	1	1734443	180	incorrect	0	40
560	diffd5	left-up	1735451	4	1	1735966	391	correct	0	515
561	diffd5	right_down	1736977	4	1	1737491	1	incorrect	0	514
562	diffd5	left-down	1738515	4	2	1738791	1	incorrect	0	276
563	diffd5	right-up	1739800	4	1	1740158	181	incorrect	0	358
564	diffd5	right-up	1741172	4	1	1741253	1	incorrect	0	81
565	diffd5	left-up	1742258	3	1	1742529	1	correct	0	271
566	diffd5	right-up	1743543	3	2	1743918	179	correct	0	375
567	diffd5	right_down	1744930	3	1	1745203	181	incorrect	0	273
568	diffd5	right_down	1746216	4	1	1746751	186	incorrect	0	535
569	diffd5	left-up	1747770	3	2	1747962	186	incorrect	0	192
570	diffd5	left-up	1748974	4	1	1749306	348	correct	0	332
571	diffd5	right_down	1750312	4	2	1750768	1	correct	0	456
572	diffd5	left-down	1752785	3	1	1752965	1	correct	180	180
573	diffd5	left-up	1754974	4	2	1755198	3	incorrect	224	224
574	diffd5	left-down	1757214	4	1	1757465	1	correct	251	251
575	diffd5	right_down	1759486	4	2	1759716	1	correct	229	230
576	diffd5	left-up	1761725	3	1	1761935	1	correct	209	210
577	diffd5	left-up	1763948	3	2	1764205	2	incorrect	257	257
578	diffd5	right_down	1766220	3	1	1766463	2	incorrect	242	243
579	diffd5	right-up	1767472	4	2	1767845	180	correct	0	373
580	diffd5	left-down	1768877	4	1	1769177	1	correct	0	300
581	diffd5	right_down	1770196	8	2	1770492	180	correct	0	296
582	diffd5	left-down	1771501	3	1	1771802	1	correct	0	301
583	diffd5	left-up	1773824	3	2	1774077	1	incorrect	253	253
584	diffd5	left-up	1776113	4	1	1776533	1	correct	419	420
585	diffd5	right-up	1778553	4	1	1778956	1	incorrect	403	403
586	diffd5	left-up	1780992	3	1	1781698	1	correct	705	706
587	diffd5	left-down	1783716	4	1	1784500	1	correct	783	784
588	diffd5	left-down	1786523	3	1	1787322	1	correct	798	799
589	diffd5	right-up	1789329	4	2	1790011	24	correct	682	682
590	diffd5	right-up	1792021	3	2	1792447	2	correct	425	426
591	diffd5	left-up	1794461	3	2	1794958	1	incorrect	496	497
592	diffd5	right-up	1796967	4	2	1797627	1	correct	659	660
593	diffd5	left-up	1799641	4	2	1800208	1	incorrect	566	567
594	diffd5	left-down	1802215	4	2	1802593	1	incorrect	378	378
595	diffd5	left-up	1804604	4	2	1805046	2	incorrect	441	442
596	diffd5	right-up	1807061	4	2	1807919	1	correct	858	858
597	diffd5	left-up	1809935	3	2	1810594	2	incorrect	658	659
598	diffd5	right_down	1812608	3	1	1813267	1	incorrect	659	659
599	diffd5	right-up	1814279	26	1	1814885	2	incorrect	0	606
600	diffd5	right_down	1815899	3	2	1816032	181	correct	0	133
